timestamp,ax,ay,az,vx,vy,vz,rms,status
2026-05-02T19:37:11.693,0.323,0.007,-0.937,-0.008,0.002,0.002,0.03,NORMAL
2026-05-02T19:37:12.194,0.336,0.0,-0.969,0.0,-0.005,-0.031,0.033,NORMAL
2026-05-02T19:37:12.693,0.312,0.012,-0.924,-0.022,0.01,0.01,0.035,NORMAL
2026-05-02T19:37:13.193,0.369,0.011,-0.946,0.035,0.008,-0.012,0.035,NORMAL
2026-05-02T19:37:13.694,0.346,0.002,-0.941,0.013,0.0,-0.007,0.036,NORMAL
2026-05-02T19:37:14.194,0.349,0.018,-0.898,0.016,0.015,0.034,0.036,NORMAL
2026-05-02T19:37:14.693,0.328,-0.007,-0.938,-0.006,-0.008,-0.005,0.033,NORMAL
2026-05-02T19:37:15.194,0.33,-0.007,-0.882,-0.004,-0.009,0.05,0.034,NORMAL
2026-05-02T19:37:15.694,0.321,-0.018,-0.969,-0.014,-0.019,-0.035,0.031,NORMAL
2026-05-02T19:37:16.194,0.319,-0.01,-0.93,-0.015,-0.012,0.005,0.031,NORMAL
2026-05-02T19:37:16.693,0.311,-0.012,-0.929,-0.023,-0.014,0.004,0.03,NORMAL
2026-05-02T19:37:17.193,0.348,0.015,-0.914,0.012,0.012,0.02,0.03,NORMAL
2026-05-02T19:37:17.693,0.328,0.001,-0.936,-0.005,-0.001,-0.003,0.031,NORMAL
2026-05-02T19:37:18.193,0.361,0.016,-0.941,0.026,0.013,-0.008,0.032,NORMAL
2026-05-02T19:37:18.693,0.314,0.0,-0.915,-0.015,-0.002,0.017,0.033,NORMAL
2026-05-02T19:37:19.193,0.346,-0.004,-0.935,0.015,-0.006,-0.005,0.032,NORMAL
2026-05-02T19:37:19.693,0.328,-0.01,-0.927,-0.007,-0.012,0.006,0.03,NORMAL
2026-05-02T19:37:20.193,0.332,-0.009,-0.944,-0.006,-0.011,-0.008,0.031,NORMAL
2026-05-02T19:37:20.693,0.354,0.015,-0.941,0.016,0.014,-0.004,0.03,NORMAL
2026-05-02T19:37:21.192,0.36,0.018,-0.925,0.022,0.016,0.014,0.029,NORMAL
2026-05-02T19:37:21.693,0.319,-0.004,-0.947,-0.019,-0.005,-0.007,0.028,NORMAL
2026-05-02T19:37:22.193,0.333,0.0,-0.923,-0.005,-0.002,0.012,0.028,NORMAL
2026-05-02T19:37:22.693,0.325,0.001,-0.911,-0.01,-0.002,0.02,0.03,NORMAL
2026-05-02T19:37:23.193,0.296,0.01,-0.918,-0.036,0.006,0.011,0.03,NORMAL
2026-05-02T19:37:23.693,0.345,0.026,-0.942,0.014,0.021,-0.015,0.029,NORMAL
2026-05-02T19:37:24.192,0.347,0.014,-0.902,0.018,0.008,0.024,0.03,NORMAL
2026-05-02T19:37:24.693,0.316,0.011,-0.92,-0.011,0.005,0.008,0.029,NORMAL
2026-05-02T19:37:25.193,0.297,0.015,-0.931,-0.029,0.007,-0.003,0.029,NORMAL
2026-05-02T19:37:25.692,0.338,0.005,-0.935,0.01,-0.004,-0.005,0.028,NORMAL
2026-05-02T19:37:26.193,0.303,-0.013,-0.918,-0.023,-0.021,0.009,0.029,NORMAL
2026-05-02T19:37:26.692,0.351,0.008,-0.955,0.023,0.001,-0.03,0.029,NORMAL
2026-05-02T19:37:27.193,0.357,0.006,-0.887,0.029,0.0,0.035,0.029,NORMAL
2026-05-02T19:37:27.693,0.344,0.002,-0.952,0.012,-0.003,-0.028,0.03,NORMAL
2026-05-02T19:37:28.193,0.344,-0.012,-0.941,0.009,-0.015,-0.014,0.031,NORMAL
2026-05-02T19:37:28.693,0.324,-0.002,-0.928,-0.01,-0.005,-0.002,0.03,NORMAL
2026-05-02T19:37:29.192,0.325,0.02,-0.942,-0.009,0.016,-0.011,0.03,NORMAL
2026-05-02T19:37:29.692,0.342,-0.004,-0.957,0.007,-0.005,-0.025,0.031,NORMAL
2026-05-02T19:37:30.192,0.326,0.007,-0.916,-0.008,0.007,0.015,0.031,NORMAL
2026-05-02T19:37:30.693,0.318,0.0,-0.868,-0.014,-0.001,0.058,0.031,NORMAL
2026-05-02T19:37:31.192,0.313,-0.006,-0.972,-0.022,-0.007,-0.044,0.032,NORMAL
2026-05-02T19:37:31.692,0.332,-0.009,-0.919,-0.003,-0.01,0.013,0.032,NORMAL
2026-05-02T19:37:32.192,0.313,0.015,-0.943,-0.02,0.012,-0.01,0.033,NORMAL
2026-05-02T19:37:32.692,0.344,0.018,-0.966,0.011,0.014,-0.031,0.033,NORMAL
